period,deadline_time,sale_time,match_num,league,start_time,home_team,away_team,bet_win,bet_draw,bet_lose
24169期,2024-11-01 22:00:00,,1,英冠,2024-11-02,卢 顿,西布罗,3,1,0
24169期,2024-11-01 22:00:00,,2,德甲,2024-11-02,勒 沃,斯图加,3,1,0
24169期,2024-11-01 22:00:00,,3,德乙,2024-11-02,明斯特,杜塞尔,3,1,0
24169期,2024-11-01 22:00:00,,4,德乙,2024-11-02,乌尔姆,沙尔克,3,1,0
24169期,2024-11-01 22:00:00,,5,西甲,2024-11-02,阿拉维,马洛卡,3,1,0
24169期,2024-11-01 22:00:00,,6,法甲,2024-11-02,摩纳哥,昂 热,3,1,0
24169期,2024-11-01 22:00:00,,7,法甲,2024-11-02,里 尔,里 昂,3,1,0
24169期,2024-11-01 22:00:00,,8,法乙,2024-11-02,阿纳西,波城FC,3,1,0
24169期,2024-11-01 22:00:00,,9,法乙,2024-11-02,克莱蒙,洛里昂,3,1,0
24169期,2024-11-01 22:00:00,,10,法乙,2024-11-02,敦刻克,亚 眠,3,1,0
24169期,2024-11-01 22:00:00,,11,法乙,2024-11-02,马蒂格,圣红星,3,1,0
24169期,2024-11-01 22:00:00,,12,法乙,2024-11-02,巴黎FC,罗德兹,3,1,0
24169期,2024-11-01 22:00:00,,13,法乙,2024-11-02,特鲁瓦,拉瓦勒,3,1,0
24169期,2024-11-01 22:00:00,,14,葡超,2024-11-02,里斯本,阿马多,3,1,0
24170期,2024-11-02 22:00:00,,1,英超,2024-11-02,伯恩茅,曼 城,3,1,0
24170期,2024-11-02 22:00:00,,2,英超,2024-11-02,利物浦,布赖顿,3,1,0
24170期,2024-11-02 22:00:00,,3,英超,2024-11-02,诺丁汉,西汉姆,3,1,0
24170期,2024-11-02 22:00:00,,4,英超,2024-11-02,南安普,埃弗顿,3,1,0
24170期,2024-11-02 22:00:00,,5,英超,2024-11-02,伊普斯,莱切城,3,1,0
24170期,2024-11-02 22:00:00,,6,英超,2024-11-03,狼 队,水晶宫,3,1,0
24170期,2024-11-02 22:00:00,,7,德甲,2024-11-02,拜 仁,柏林联,3,1,0
24170期,2024-11-02 22:00:00,,8,德甲,2024-11-02,法兰克,波 鸿,3,1,0
24170期,2024-11-02 22:00:00,,9,德甲,2024-11-02,沃尔夫,奥格斯,3,1,0
24170期,2024-11-02 22:00:00,,10,德甲,2024-11-03,多 特,莱比锡,3,1,0
24170期,2024-11-02 22:00:00,,11,意甲,2024-11-03,乌迪内,尤 文,3,1,0
24170期,2024-11-02 22:00:00,,12,意甲,2024-11-03,蒙 扎,AC米兰,3,1,0
24170期,2024-11-02 22:00:00,,13,西甲,2024-11-03,巴伦西,皇 马,3,1,0
24170期,2024-11-02 22:00:00,,14,法甲,2024-11-03,日尔曼,朗 斯,3,1,0
24171期,2024-11-03 21:30:00,,1,英超,2024-11-03,热 刺,维 拉,3,1,0
24171期,2024-11-03 21:30:00,,2,英超,2024-11-04,曼 联,切尔西,3,1,0
24171期,2024-11-03 21:30:00,,3,德甲,2024-11-03,弗赖堡,美因茨,3,1,0
24171期,2024-11-03 21:30:00,,4,德甲,2024-11-04,门 兴,不来梅,3,1,0
24171期,2024-11-03 21:30:00,,5,意甲,2024-11-03,都 灵,佛罗伦,3,1,0
24171期,2024-11-03 21:30:00,,6,意甲,2024-11-04,维罗纳,罗 马,3,1,0
24171期,2024-11-03 21:30:00,,7,意甲,2024-11-04,国 米,威尼斯,3,1,0
24171期,2024-11-03 21:30:00,,8,西甲,2024-11-03,巴 萨,西班人,3,1,0
24171期,2024-11-03 21:30:00,,9,西甲,2024-11-04,塞维利,社 会,3,1,0
24171期,2024-11-03 21:30:00,,10,西甲,2024-11-04,毕尔巴,贝蒂斯,3,1,0
24171期,2024-11-03 21:30:00,,11,法甲,2024-11-03,图卢兹,兰 斯,3,1,0
24171期,2024-11-03 21:30:00,,12,法甲,2024-11-04,欧塞尔,雷 恩,3,1,0
24171期,2024-11-03 21:30:00,,13,法甲,2024-11-04,阿弗尔,蒙彼利,3,1,0
24171期,2024-11-03 21:30:00,,14,法甲,2024-11-04,南 特,马 赛,3,1,0
